Species,Genus,Family,SuperFamily,Order,Class,Major,J_per_mgWM,Mobility_code,Food_code
Hypnea valentiae,Hypnea,Hypneaceae,Gigartinales,Florideophycideae,Rhodophytina,Rhodophyta,,0.0,0.0
Laurencia cruciata,Laurencia,Rhodomelaceae,Ceramiales,Florideophycideae,Rhodophytina,Rhodophyta,,0.0,0.0
Laurencia papillosa,Laurencia,Rhodomelaceae,Ceramiales,Florideophycideae,Rhodophytina,Rhodophyta,,0.0,0.0
Laurencia pedicularioides,Laurencia,Rhodomelaceae,Ceramiales,Florideophycideae,Rhodophytina,Rhodophyta,,0.0,0.0
Sarconema filiforme,Sarconema,Areschougiaceae,Gigartinales,Florideophycideae,Rhodophytina,Rhodophyta,,0.0,0.0
Scinaia forcellata,Scinaia,Galaxauraceae,Nemaliales,Florideophycideae,Rhodophytina,Rhodophyta,,0.0,0.0
Tubifex tubifex,Tubifex,Tubificidae,Haplotaxida,Oligochaeta,Clitellata,Annelida,,1.0,2.0
Donax incarnatus,Donax,Donacidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,1.0,1.0
Donax incarnatus,Donax,Donacidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,1.0,1.0
Donax incarnatus,Donax,Donacidae,Veneroida,Heterodonta,Bivalvia,Mollusca,,1.0,1.0
Nemata,Taxon > Genus,-,-,Secermetea,Secermetea,Nemata,4.10943967434,1.0,2.0
Cyprideis torosa,Cyprideis,Cytherideidae,Podocopa,Ostracoda,Ostracoda,Crustacea,2.1704079600000004,1.0,2.0
Candona sp.,Candona,Candonidae,Podocopa,Ostracoda,Ostracoda,Crustacea,1.97813854728,1.0,2.0
Anguilla sp.,Anguilla,Anguillidae,Anguilliformes,Elopomorpha,Teleostei,Osteichthyes,4.26,2.0,3.0
Phragmites communis,Phragmites,Poaceae,Cyperales,Commelinidae,Magnoliopsida,Tracheophyta,,0.0,0.0
Glyceria aquatica,Glyceria,Poaceae,Cyperales,Commelinidae,Magnoliopsida,Tracheophyta,,0.0,0.0
