country,area,vessel,gear,rigging,door,year,month,day,haul_number,codend_closing,shooting_time,shooting_quadrant,shooting_latitude,shooting_longitude,shooting_depth,hauling_time,hauling_quadrant,hauling_latitude,hauling_longitude,hauling_depth,hauling_duration,validity,course,recorded_species,distance,vertical_opening,wing_opening,geometrical_precision,bridles_length,warp_length,warp_diameter,hydrological_station,observations,type_of_file,bottom_temperature_beginning,bottom_temperature_end,measuring_system_temp,number_of_the_stratum,part_of_the_codend,name_of_survey,bottom_salinity_beginning,bottom_salinity_end,measuring_system_sal
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,18,16.0000,S,15.3000,1,4258.1070,2819.9000,79.0000,16.3000,1,4259.3200,2823.4570,80.0000,60.0000,V,R,2,5311.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,3.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,19,17.0000,S,6.4000,1,4256.0700,2809.1500,36.0000,7.4000,1,4258.2700,2806.9000,30.0000,60.0000,V,R,2,5083.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,1.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,19,18.0000,S,8.1000,1,4258.5000,2805.6000,29.0000,9.1000,1,4259.5400,2801.3000,22.0000,60.0000,V,R,2,6129.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,1.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,27,19.0000,S,7.2200,1,4255.3000,2807.2700,42.0000,8.2200,1,4253.4000,2810.7000,56.0000,60.0000,V,R,2,5827.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,1.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,27,20.0000,S,9.1000,1,4250.3000,2816.9000,82.0000,10.1000,1,4249.1000,2812.5000,74.0000,60.0000,V,R,2,6369.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,3.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,27,21.0000,S,11.0500,1,4247.3000,2807.0800,53.0000,12.0500,1,4246.5800,2804.7000,42.0000,60.0000,V,R,2,3495.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,1.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,27,22.0000,S,12.5000,1,4247.0000,2759.1300,33.0000,13.5000,1,4244.6000,2802.6000,42.0000,60.0000,V,R,2,6475.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,1.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,27,23.0000,S,14.3000,1,4243.1070,2803.2000,49.0000,15.3000,1,4242.8000,2808.3600,65.0000,60.0000,V,R,2,7036.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,27,24.0000,S,16.0500,1,4242.0800,2809.1200,73.0000,17.0500,1,4239.9000,2812.3700,87.0000,60.0000,V,R,2,5983.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,3.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,27,25.0000,S,17.5000,1,4237.9000,2814.0000,90.0000,18.5000,1,4237.3000,2811.7000,80.0000,60.0000,V,R,2,3321.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,3.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,27,26.0000,S,19.4500,1,4236.1200,2804.1000,60.0000,20.4500,1,4235.4500,2801.0300,50.0000,60.0000,V,R,2,4360.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,28,27.0000,S,7.0500,1,4236.3000,2756.1500,43.0000,8.0500,1,4232.9000,2756.4500,42.0000,60.0000,V,R,2,6303.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,1.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,28,28.0000,S,8.4500,1,4232.1000,2756.1700,47.0000,9.4500,1,4232.7000,2801.9200,55.0000,60.0000,V,R,2,7915.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,28,29.0000,S,10.4500,1,4232.3500,2812.3200,80.0000,11.4500,1,4228.9200,2809.9100,76.0000,60.0000,V,R,2,7146.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,3.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,28,30.0000,S,12.3000,1,4226.0700,2807.1000,67.0000,13.3000,1,4225.6000,2802.1400,52.0000,60.0000,V,R,2,6828.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,28,31.0000,S,14.2000,1,4226.3000,2756.1600,43.0000,15.2000,1,4224.2000,2754.8000,37.0000,60.0000,V,R,2,4306.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,1.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,28,32.0000,S,15.5500,1,4222.0000,2753.5000,36.0000,16.5500,1,4221.7000,2757.9000,46.0000,60.0000,V,R,2,6040.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,1.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,28,33.0000,S,17.5000,1,4222.2000,2803.2000,58.0000,18.5000,1,4223.6000,2806.9400,72.0000,60.0000,V,R,2,5729.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,28,34.0000,S,19.4000,1,4222.2600,2813.0600,86.0000,20.4000,1,4219.4200,2810.7300,78.0000,60.0000,V,R,2,6144.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,3.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,28,35.0000,S,21.2500,1,4217.1500,2807.1400,65.0000,22.2500,1,4216.7100,2802.8500,52.0000,60.0000,V,R,2,5927.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,28,36.0000,S,23.1200,1,4217.1000,2756.8000,41.0000,24.1200,1,4214.2000,2758.5000,44.0000,60.0000,V,R,2,5848.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,1.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,29,37.0000,S,0.5500,1,4206.3000,2809.1300,59.0000,1.5500,1,4209.1000,2806.2200,56.0000,60.0000,V,R,2,6540.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,29,38.0000,S,2.4000,1,4210.0300,2804.1300,54.0000,3.4000,1,4212.3400,2759.9000,44.0000,60.0000,V,R,2,7203.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,1.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,5,1.0000,S,7.1000,1,4337.8500,2844.3000,56.0000,8.1000,1,4337.0120,2847.5320,60.0000,60.0000,V,R,2,4597.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,5,2.0000,S,8.4800,1,4337.0700,2849.3000,61.0000,9.4800,1,4335.6200,2851.6300,65.0000,60.0000,V,R,2,4115.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,5,3.0000,S,11.0000,1,4332.5900,2845.5500,60.0000,12.0000,1,4331.0900,2848.9400,70.0000,60.0000,V,R,2,5326.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,5,4.0000,S,12.5000,1,4329.7000,2847.9200,71.0000,13.5000,1,4327.6680,2842.8510,65.0000,60.0000,V,R,2,7774.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,5,5.0000,S,15.3000,1,4318.3290,2843.1880,81.0000,16.3000,1,4315.5000,2841.2000,85.0000,60.0000,V,R,2,5878.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,3.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,12,6.0000,S,7.3000,1,4316.3400,2834.7500,73.0000,8.3000,1,4318.2400,2833.1000,57.0000,60.0000,V,R,2,4158.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,12,7.0000,S,9.1500,1,4318.8000,2829.8000,45.0000,10.1500,1,4315.9900,2828.6800,53.0000,60.0000,V,R,2,5412.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,1.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,12,8.0000,S,11.0300,1,4316.8000,2825.5130,37.0000,12.0300,1,4316.3800,2821.9700,27.0000,60.0000,V,R,2,4834.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,1.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,12,9.0000,S,12.4200,1,4315.3000,2819.5000,26.0000,13.4200,1,4312.3300,2819.1400,34.0000,60.0000,V,R,2,5515.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,1.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,12,10.0000,S,14.4200,1,4313.8460,2825.5400,47.0000,15.4200,1,4311.5100,2828.6500,65.0000,60.0000,V,R,2,6021.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,13,11.0000,S,7.1500,1,4309.6500,2831.2000,81.0000,8.1500,1,4307.6000,2833.8500,88.0000,60.0000,V,R,2,5213.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,3.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,13,12.0000,S,9.3500,1,4309.6000,2825.3700,60.0000,10.3500,1,4308.5900,2821.5700,46.0000,60.0000,V,R,2,5458.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,13,13.0000,S,11.2000,1,4305.3800,2820.6500,52.0000,12.2000,1,4302.3420,2819.5470,60.0000,60.0000,V,R,2,5814.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,13,14.0000,S,13.0500,1,4259.9800,2818.2550,64.0000,14.0500,1,4258.8200,2814.6300,52.0000,60.0000,V,R,2,5354.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,13,15.0000,S,14.4300,1,4256.1130,2814.5410,52.0000,15.4300,1,4258.3150,2812.7680,40.0000,60.0000,V,R,2,4728.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,1.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,13,16.0000,S,16.2000,1,4256.3000,2808.9000,36.0000,17.2000,1,4259.2890,2806.8580,30.0000,60.0000,V,R,2,6182.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,1.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,18,17.0000,S,6.4300,1,4257.7140,2820.9000,80.0000,7.4300,1,4258.6170,2824.0700,84.0000,60.0000,V,R,2,4604.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,3.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,18,18.0000,S,10.0600,1,4258.3000,2806.7000,30.0000,11.0600,1,4259.5000,2802.1500,25.0000,60.0000,V,R,2,6545.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,1.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,18,19.0000,S,12.2000,1,4255.2000,2806.6000,34.0000,13.2000,1,4253.8000,2810.2000,48.0000,60.0000,V,R,2,5523.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,1.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,18,20.0000,S,14.2300,1,4250.1300,2815.9900,79.0000,15.2300,1,4249.1600,2811.9800,69.0000,60.0000,V,R,2,5729.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,18,21.0000,S,16.5300,1,4247.2100,2800.1370,34.0000,17.5300,1,4244.5000,2801.9000,38.0000,60.0000,V,R,2,5555.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,1.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,18,22.0000,S,18.3500,1,4243.8000,2803.4000,45.0000,19.3500,1,4242.5650,2807.6750,61.0000,60.0000,V,R,2,6243.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,18,23.0000,S,20.0800,1,4242.3600,2809.3000,70.0000,21.0800,1,4239.9000,2812.0300,79.0000,60.0000,V,R,2,5873.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,18,24.0000,S,21.5200,1,4239.3150,2816.2100,84.0000,22.5200,1,4236.8130,2815.8190,74.0000,60.0000,V,R,2,4659.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,3.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,18,25.0000,S,23.4000,1,4236.1240,2804.1170,56.0000,0.4000,1,4235.0920,2800.0070,45.0000,60.0000,V,R,2,5914.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,19,26.0000,S,1.3500,1,4235.9700,2756.6300,33.0000,2.3500,1,4232.9900,2756.5000,40.0000,60.0000,V,R,2,5515.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,1.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,19,27.0000,S,3.0500,1,4232.2800,2756.3000,41.0000,4.0500,1,4232.4650,2801.8800,52.0000,60.0000,V,R,2,7613.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,1.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,19,28.0000,S,5.3200,1,4232.3500,2812.3200,81.0000,6.3200,1,4228.9200,2809.9100,77.0000,60.0000,V,R,2,7146.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,3.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,19,29.0000,S,7.2700,1,4226.1800,2807.1330,72.0000,8.2700,1,4226.0350,2802.6000,56.0000,60.0000,V,R,2,6195.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,19,30.0000,S,9.2500,1,4226.0300,2756.7000,40.0000,10.2500,1,4223.9450,2754.1410,36.0000,60.0000,V,R,2,5205.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,1.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,19,31.0000,S,10.5700,1,4222.6700,2753.3400,36.0000,11.5700,1,4222.1080,2758.3120,45.0000,60.0000,V,R,2,6874.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,1.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,19,32.0000,S,12.3500,1,4223.1710,2802.8400,52.0000,13.3500,1,4223.1710,2807.3000,64.0000,60.0000,V,R,2,6094.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,19,33.0000,S,14.4500,1,4222.6080,2812.8700,84.0000,15.4500,1,4219.4000,2810.2000,80.0000,60.0000,V,R,2,6967.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,3.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2015,12,19,34.0000,S,16.3000,1,4217.3400,2806.4700,66.0000,17.3000,1,4216.9000,2802.3900,53.0000,60.0000,V,R,2,5643.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
